city,median_household_income,year
"Baton Rouge, LA",56913.0,2018
"Baton Rouge, LA",58912.0,2019
"Baton Rouge, LA",60043.0,2020
"Baton Rouge, LA",63270.0,2021
"Baton Rouge, LA",67979.0,2022
"Baton Rouge, LA",68910.0,2023
"Baton Rouge, LA",69599.0,2024
"Battle Creek, MI",42520.0,2015
"Battle Creek, MI",44681.0,2016
"Battle Creek, MI",46213.0,2017
"Battle Creek, MI",47426.0,2018
"Battle Creek, MI",48607.0,2019
"Battle Creek, MI",50219.0,2020
"Battle Creek, MI",53286.0,2021
"Battle Creek, MI",58191.0,2022
"Battle Creek, MI",60385.0,2023
"Battle Creek, MI",63177.0,2024
"Bay City, MI",45583.0,2015
"Bay City, MI",45851.0,2016
"Bay City, MI",45983.0,2017
"Bay City, MI",48005.0,2018
"Bay City, MI",48819.0,2019
"Bay City, MI",48290.0,2020
"Bay City, MI",52510.0,2021
"Bay City, MI",57887.0,2022
"Bay City, MI",60523.0,2023
"Bay City, MI",61763.0,2024
"Beaumont-Port Arthur, TX",45861.0,2015
"Beaumont-Port Arthur, TX",47170.0,2016
"Beaumont-Port Arthur, TX",48962.0,2017
"Beaumont-Port Arthur, TX",51094.0,2018
"Beaumont-Port Arthur, TX",54016.0,2019
"Beaumont-Port Arthur, TX",54256.0,2020
"Beaumont-Port Arthur, TX",57899.0,2021
"Beaumont-Port Arthur, TX",62427.0,2022
"Beaumont-Port Arthur, TX",65245.0,2023
"Beaumont-Port Arthur, TX",64659.0,2024
"Beckley, WV",38967.0,2015
"Beckley, WV",39900.0,2016
"Beckley, WV",41141.0,2017
"Beckley, WV",41471.0,2018
"Beckley, WV",42817.0,2019
"Beckley, WV",43444.0,2020
"Beckley, WV",44466.0,2021
"Beckley, WV",48859.0,2022
"Beckley, WV",52345.0,2023
"Beckley, WV",52620.0,2024
"Bellingham, WA",53145.0,2015
"Bellingham, WA",54207.0,2016
"Bellingham, WA",56419.0,2017
"Bellingham, WA",59285.0,2018
"Bellingham, WA",62984.0,2019
"Bellingham, WA",65420.0,2020
"Bellingham, WA",70011.0,2021
"Bellingham, WA",77581.0,2022
"Bellingham, WA",80989.0,2023
"Bellingham, WA",81784.0,2024
"Bend, OR",67043.0,2019
"Bend, OR",68937.0,2020
"Bend, OR",74082.0,2021
"Bend, OR",82042.0,2022
"Bend, OR",85509.0,2023
"Bend, OR",89788.0,2024
"Bend-Redmond, OR",51223.0,2015
"Bend-Redmond, OR",54211.0,2016
"Bend-Redmond, OR",59152.0,2017
"Bend-Redmond, OR",63680.0,2018
"Billings, MT",52431.0,2015
"Billings, MT",54867.0,2016
"Billings, MT",57812.0,2017
"Billings, MT",58878.0,2018
"Billings, MT",61278.0,2019
"Billings, MT",62722.0,2020
"Billings, MT",65788.0,2021
"Billings, MT",72377.0,2022
"Billings, MT",74599.0,2023
"Billings, MT",77194.0,2024
"Binghamton, NY",48540.0,2015
"Binghamton, NY",49707.0,2016
"Binghamton, NY",50673.0,2017
"Binghamton, NY",52779.0,2018
"Binghamton, NY",54295.0,2019
"Binghamton, NY",54695.0,2020
"Binghamton, NY",56621.0,2021
"Binghamton, NY",61271.0,2022
"Binghamton, NY",63347.0,2023
"Binghamton, NY",64590.0,2024
"Birmingham, AL",69627.0,2023
"Birmingham, AL",71498.0,2024
"Birmingham-Hoover, AL",49260.0,2015
"Birmingham-Hoover, AL",50529.0,2016
"Birmingham-Hoover, AL",52088.0,2017
"Birmingham-Hoover, AL",54291.0,2018
"Birmingham-Hoover, AL",57447.0,2019
"Birmingham-Hoover, AL",59185.0,2020
"Birmingham-Hoover, AL",62873.0,2021
"Birmingham-Hoover, AL",68329.0,2022
"Bismarck, ND",63836.0,2015
"Bismarck, ND",64918.0,2016
"Bismarck, ND",66467.0,2017
"Bismarck, ND",68474.0,2018
"Bismarck, ND",71398.0,2019
"Bismarck, ND",72886.0,2020
"Bismarck, ND",75715.0,2021
"Bismarck, ND",81846.0,2022
"Bismarck, ND",83982.0,2023
"Bismarck, ND",85156.0,2024
"Blacksburg-Christiansburg, VA",55065.0,2019
"Blacksburg-Christiansburg, VA",55475.0,2020
"Blacksburg-Christiansburg, VA",57381.0,2021
"Blacksburg-Christiansburg, VA",62017.0,2022
"Blacksburg-Christiansburg-Radford, VA",45607.0,2015
"Blacksburg-Christiansburg-Radford, VA",47456.0,2016
"Blacksburg-Christiansburg-Radford, VA",50409.0,2017
"Blacksburg-Christiansburg-Radford, VA",52189.0,2018
"Blacksburg-Christiansburg-Radford, VA",64627.0,2023
"Blacksburg-Christiansburg-Radford, VA",65839.0,2024
"Bloomington, IL",61504.0,2015
"Bloomington, IL",62317.0,2016
"Bloomington, IL",63333.0,2017
"Bloomington, IL",64646.0,2018
"Bloomington, IL",67675.0,2019
"Bloomington, IL",68037.0,2020
"Bloomington, IL",70339.0,2021
"Bloomington, IL",75356.0,2022
"Bloomington, IL",78329.0,2023
"Bloomington, IL",79905.0,2024
"Bloomington, IN",42725.0,2015
"Bloomington, IN",43828.0,2016
"Bloomington, IN",46146.0,2017
"Bloomington, IN",47365.0,2018
"Bloomington, IN",49798.0,2019
"Bloomington, IN",52226.0,2020
"Bloomington, IN",54060.0,2021
"Bloomington, IN",59998.0,2022
"Bloomington, IN",62949.0,2023
"Bloomington, IN",65543.0,2024
"Bloomsburg-Berwick, PA",47372.0,2015
"Bloomsburg-Berwick, PA",48755.0,2016
"Bloomsburg-Berwick, PA",49968.0,2017
"Bloomsburg-Berwick, PA",50947.0,2018
"Bloomsburg-Berwick, PA",51745.0,2019
